"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"53",721.709027777778,446,375,4659.74872513342,6000,4,6.60558611826917,6.45654764702237,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/105/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"58",721.709027777778,449,375,5110.62824472306,6000,4,6.60558611826916,7.08128629131778,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/15/3","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"38",721.709027777778,441,373,3136.64519025541,6000,4,6.37146526876266,4.34613545006287,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/105/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"24",721.709027777778,426,367,5365.66251000018,5169.8676899999,4,10,7.43466175907713,"SEQ","AUDUSD","2 hours","40/10/5/-1.25/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"40",721.709027777778,432,366,3736.95521999999,1884.17674,3,10,5.17792500324748,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/135/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"41",721.709027777778,422,363,3994.77219000001,1903.17914,3,10,5.5351561865595,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/150/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"39",721.709027777778,427,360,3002.95263257751,6000,4,6.37146526876266,4.16089104749588,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/120/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"23",721.709027777778,370,318,5442.07368000006,4775.14079000001,4,10,7.54053707317035,"SEQ","AUDUSD","2 hours","40/10/5/-1.3/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"46",721.709027777778,346,301,3798.39976000014,2200.03930000001,3,10,5.26306255541217,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/3/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"8",721.709027777778,331,289,5629.7977100001,4193.8466,4,10,7.80064748162411,"SEQ","AUDUSD","2 hours","40/15/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"22",721.709027777778,316,272,3424.69829000005,2231.11450000003,3,10,4.74526181353873,"SEQ","AUDUSD","2 hours","40/10/5/-1.35/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"17",721.709027777778,307,265,2511.85106999999,1953.98666000001,3,10,3.48042074204649,"SEQ","AUDUSD","4 hours","40/10/6/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"21",721.709027777778,277,243,3003.62051000006,942.310989999999,3,10,4.16181645842583,"SEQ","AUDUSD","2 hours","40/10/5/-1.4/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
