"","currency","event","actual","forecast","previous","impact","DateUTC"
"5876","USD","FOMC Member Williams Speaks","","","","yellow","2022-03-31 05:00:00"
"5877","USD","Chicago PMI","62.9","56.9","56.3","orange","2022-03-31 05:45:00"
"5878","CHF","Gov Board Member Maechler Speaks","","","","orange","2022-03-31 06:00:00"
"5879","USD","Natural Gas Storage","26B","23B","-51B","yellow","2022-03-31 06:30:00"
"5880","USD","President Biden Speaks","","","","yellow","2022-03-31 09:30:00"
"5881","AUD","AIG Manufacturing Index","55.7","","53.2","yellow","2022-03-31 13:30:00"
"5882","JPY","Tankan Manufacturing Index","14","12","18","yellow","2022-03-31 15:50:00"
"5883","JPY","Tankan Non-Manufacturing Index","9","5","9","yellow","2022-03-31 08:00:00"
"5884","JPY","Final Manufacturing PMI","54.1","53.2","53.2","yellow","2022-03-31 16:30:00"
"5885","CNY","Caixin Manufacturing PMI","48.1","50.0","50.4","yellow","2022-03-31 17:45:00"
"5886","AUD","Commodity Prices y/y","40.9%","","34.0%","yellow","2022-03-31 21:30:00"
"5887","CHF","CPI m/m","0.6%","0.5%","0.7%","yellow","2022-03-31 22:30:00"
"5888","EUR","French Gov Budget Balance","-37.6B","","-15.9B","yellow","2022-03-31 22:45:00"
"5889","EUR","Spanish Manufacturing PMI","54.2","55.8","56.9","yellow","2022-03-31 23:15:00"
"5890","CHF","Manufacturing PMI","64.0","61.0","62.6","yellow","2022-03-31 23:30:00"
"5891","EUR","Italian Manufacturing PMI","55.8","57.0","58.3","yellow","2022-03-31 23:45:00"
"5892","EUR","French Final Manufacturing PMI","54.7","54.8","54.8","yellow","2022-03-31 23:50:00"
"5893","EUR","German Final Manufacturing PMI","56.9","57.6","57.6","yellow","2022-03-31 23:55:00"
"5894","EUR","Final Manufacturing PMI","56.5","57.0","57.0","yellow","2022-04-01 00:00:00"
"5895","GBP","Final Manufacturing PMI","55.2","55.5","55.5","yellow","2022-04-01 00:30:00"
"5896","EUR","CPI Flash Estimate y/y","7.5%","6.7%","5.9%","orange","2022-04-01 01:00:00"
"5897","EUR","Core CPI Flash Estimate y/y","3.0%","3.1%","2.7%","yellow","2022-04-01 08:00:00"
"5898","USD","Average Hourly Earnings m/m","0.4%","0.4%","0.1%","red","2022-04-01 04:30:00"
"5899","USD","Non-Farm Employment Change","431K","492K","750K","red","2022-04-01 08:00:00"
"5900","USD","Unemployment Rate","3.6%","3.7%","3.8%","red","2022-04-01 08:00:00"
"5901","CAD","Manufacturing PMI","58.9","","56.6","yellow","2022-04-01 05:30:00"
"5902","USD","Final Manufacturing PMI","58.8","58.5","58.5","yellow","2022-04-01 05:45:00"
"5903","USD","ISM Manufacturing PMI","57.1","58.9","58.6","red","2022-04-01 06:00:00"
"5904","USD","Construction Spending m/m","0.5%","1.0%","1.6%","yellow","2022-04-01 08:00:00"
"5905","USD","ISM Manufacturing Prices","87.1","79.9","75.6","yellow","2022-04-01 08:00:00"
"5906","USD","Wards Total Vehicle Sales","13.3M","13.4M","14.1M","yellow","2022-04-01 08:00:00"
"5907","USD","President Biden Speaks","","","","yellow","2022-04-01 06:45:00"
"5908","NZD","Daylight Saving Time Shift","","","","grey","2022-04-02 06:00:00"
"5909","AUD","Daylight Saving Time Shift","","","","grey","2022-04-02 08:00:00"
"5910","USD","FOMC Member Williams Speaks","","","","yellow","2022-04-02 09:00:00"
"5911","JPY","Monetary Base y/y","7.9%","8.0%","7.6%","yellow","2022-04-03 15:50:00"
"5912","CNY","Bank Holiday","","","","grey","2022-04-03 08:00:00"
"5913","AUD","MI Inflation Gauge m/m","0.8%","","0.5%","yellow","2022-04-03 17:00:00"
"5914","AUD","ANZ Job Advertisements m/m","0.4%","","10.9%","yellow","2022-04-03 17:30:00"
"5915","EUR","German Trade Balance","11.5B","11.3B","8.8B","yellow","2022-04-03 22:00:00"
"5916","EUR","Spanish Unemployment Change","-2.9K","15.3K","-11.4K","orange","2022-04-03 23:00:00"
"5917","EUR","Sentix Investor Confidence","-18.0","-9.3","-7.0","yellow","2022-04-04 00:30:00"
"5918","GBP","BOE Gov Bailey Speaks","","","","orange","2022-04-04 01:05:00"
"5919","EUR","Eurogroup Meetings","","","","yellow","2022-04-04 08:00:00"
"5920","CAD","Building Permits m/m","21.0%","6.9%","-8.2%","yellow","2022-04-04 04:30:00"
"5921","GBP","MPC Member Cunliffe Speaks","","","","yellow","2022-04-04 06:00:00"
"5922","USD","Factory Orders m/m","-0.5%","-0.5%","1.5%","yellow","2022-04-04 08:00:00"
"5923","CAD","BOC Business Outlook Survey","","","","orange","2022-04-04 06:30:00"
"5924","AUD","AIG Construction Index","56.5","","53.4","yellow","2022-04-04 14:30:00"
"5925","JPY","Average Cash Earnings y/y","1.2%","0.6%","1.1%","yellow","2022-04-04 15:30:00"
"5926","JPY","Household Spending y/y","1.1%","2.8%","6.9%","yellow","2022-04-04 08:00:00"
"5927","CNY","Bank Holiday","","","","grey","2022-04-04 08:00:00"
"5928","JPY","10-y Bond Auction","0.20|3.6","","0.18|3.2","yellow","2022-04-04 19:35:00"
"5929","AUD","Cash Rate","0.10%","0.10%","0.10%","red","2022-04-04 20:30:00"
"5930","AUD","RBA Rate Statement","","","","red","2022-04-05 08:00:00"
"5931","EUR","French Industrial Production m/m","-0.9%","-0.4%","1.8%","yellow","2022-04-04 22:45:00"
"5932","EUR","Spanish Services PMI","53.4","54.2","56.6","yellow","2022-04-04 23:15:00"
"5933","EUR","Italian Services PMI","52.1","51.6","52.8","yellow","2022-04-04 23:45:00"
"5934","EUR","French Final Services PMI","57.4","57.4","57.4","yellow","2022-04-04 23:50:00"
"5935","EUR","German Final Services PMI","56.1","55.0","55.0","yellow","2022-04-04 23:55:00"
"5936","EUR","Final Services PMI","55.6","54.8","54.8","yellow","2022-04-05 00:00:00"
"5937","GBP","Final Services PMI","62.6","60.9","61.0","yellow","2022-04-05 00:30:00"
"5938","GBP","Housing Equity Withdrawal q/q","-12.1B","1.4B","-6.7B","yellow","2022-04-05 08:00:00"
"5939","EUR","ECOFIN Meetings","","","","yellow","2022-04-05 08:00:00"
"5940","CAD","Trade Balance","2.7B","2.9B","3.1B","yellow","2022-04-05 04:30:00"
"5941","USD","Trade Balance","-89.2B","-88.5B","-89.2B","yellow","2022-04-05 08:00:00"
"5942","USD","Final Services PMI","58.0","58.9","58.9","yellow","2022-04-05 05:45:00"
"5943","USD","ISM Services PMI","58.3","58.6","56.5","red","2022-04-05 06:00:00"
"5944","USD","FOMC Member Brainard Speaks","","","","orange","2022-04-05 06:05:00"
"5945","NZD","GDT Price Index","-1.0%","","-0.9%","yellow","2022-04-05 06:45:00"
"5946","USD","FOMC Member Williams Speaks","","","","yellow","2022-04-05 10:00:00"
"5947","NZD","ANZ Commodity Prices m/m","3.9%","","3.9%","yellow","2022-04-05 17:08:00"
"5948","CNY","Caixin Services PMI","42.0","49.6","50.2","yellow","2022-04-05 17:45:00"
"5949","EUR","German Factory Orders m/m","-2.2%","-0.2%","2.3%","yellow","2022-04-05 22:00:00"
"5950","AUD","RBA Gov-Designate Bullock Speaks","","","","yellow","2022-04-05 22:05:00"
"5951","GBP","Construction PMI","59.1","58.0","59.1","yellow","2022-04-06 00:30:00"
"5952","EUR","PPI m/m","1.1%","1.2%","5.1%","yellow","2022-04-06 01:00:00"
"5953","CAD","Ivey PMI","74.2","62.3","60.6","orange","2022-04-06 06:00:00"
"5954","USD","Treasury Sec Yellen Speaks","","","","orange","2022-04-06 08:00:00"
"5955","USD","Crude Oil Inventories","2.4M","-2.9M","-3.4M","yellow","2022-04-06 06:30:00"
"5956","USD","FOMC Meeting Minutes","","","","red","2022-04-06 10:00:00"
"5957","AUD","AIG Services Index","56.2","","60.0","yellow","2022-04-06 14:30:00"
"5958","AUD","Trade Balance","7.46B","11.70B","11.79B","yellow","2022-04-06 17:30:00"
"5959","JPY","30-y Bond Auction","0.99|3.0","","0.89|3.1","yellow","2022-04-06 19:35:00"
"5960","JPY","Leading Indicators","100.9%","100.9%","102.5%","yellow","2022-04-06 21:00:00"
"5961","CHF","Unemployment Rate","2.2%","2.2%","2.3%","yellow","2022-04-06 21:45:00"
"5962","EUR","German Industrial Production m/m","0.2%","0.1%","1.4%","yellow","2022-04-06 22:00:00"
"5963","GBP","Halifax HPI m/m","1.4%","0.9%","0.8%","yellow","2022-04-07 08:00:00"
"5964","CHF","Foreign Currency Reserves","911B","","938B","yellow","2022-04-06 23:00:00"
"5965","EUR","Spanish 10-y Bond Auction","1.60|2.3","","1.23|1.5","yellow","2022-04-07 00:49:00"
"5966","EUR","Retail Sales m/m","0.3%","0.6%","0.2%","yellow","2022-04-07 01:00:00"
"5967","EUR","French 10-y Bond Auction","1.17|1.8","","0.52|1.7","yellow","2022-04-07 01:03:00"
"5968","EUR","ECB Monetary Policy Meeting Accounts","","","","yellow","2022-04-07 03:30:00"
"5969","GBP","MPC Member Pill Speaks","","","","yellow","2022-04-07 04:15:00"
"5970","USD","Unemployment Claims","166K","201K","171K","orange","2022-04-07 04:30:00"
"5971","USD","FOMC Member Bullard Speaks","","","","orange","2022-04-07 05:00:00"
"5972","USD","Treasury Sec Yellen Speaks","","","","orange","2022-04-07 06:30:00"
"5973","USD","Natural Gas Storage","-33B","-28B","26B","yellow","2022-04-07 08:00:00"
"5974","USD","Consumer Credit m/m","41.8B","18.0B","8.9B","yellow","2022-04-07 11:00:00"
"5975","CAD","Annual Budget Release","","","","yellow","2022-04-07 12:00:00"
"5976","JPY","Current Account","0.52T","0.27T","0.18T","yellow","2022-04-07 15:50:00"
"5977","AUD","RBA Financial Stability Review","","","","yellow","2022-04-07 17:30:00"
"5978","JPY","Consumer Confidence","32.8","36.9","35.3","yellow","2022-04-07 21:00:00"
"5979","JPY","Economy Watchers Sentiment","47.8","45.0","37.7","yellow","2022-04-07 22:00:00"
"5980","EUR","Italian Retail Sales m/m","0.7%","0.5%","-0.6%","yellow","2022-04-08 00:00:00"
"5981","CAD","Employment Change","72.5K","77.5K","336.6K","red","2022-04-08 04:30:00"
"5982","CAD","Unemployment Rate","5.3%","5.4%","5.5%","red","2022-04-08 08:00:00"
"5983","USD","Final Wholesale Inventories m/m","2.5%","2.1%","2.1%","yellow","2022-04-08 06:00:00"
"5984","EUR","French Presidential Election","","","","red","2022-04-10 08:00:00"
"5985","JPY","BOJ Gov Kuroda Speaks","","","","orange","2022-04-10 16:30:00"
"5986","CNY","CPI y/y","1.5%","1.3%","0.9%","yellow","2022-04-10 17:30:00"
"5987","CNY","PPI y/y","8.3%","8.1%","8.8%","yellow","2022-04-10 08:00:00"
"5988","JPY","Prelim Machine Tool Orders y/y","30.2%","","31.6%","yellow","2022-04-10 21:59:00"
"5989","GBP","Construction Output m/m","-0.1%","0.5%","1.6%","yellow","2022-04-10 22:00:00"
"5990","GBP","GDP m/m","0.1%","0.2%","0.8%","yellow","2022-04-11 08:00:00"
"5991","GBP","Goods Trade Balance","-20.6B","-16.8B","-23.9B","yellow","2022-04-11 08:00:00"
"5992","GBP","Index of Services 3m/3m","0.8%","0.7%","1.4%","yellow","2022-04-11 08:00:00"
"5993","GBP","Industrial Production m/m","-0.6%","0.3%","0.7%","yellow","2022-04-11 08:00:00"
"5994","GBP","Manufacturing Production m/m","-0.4%","0.3%","0.9%","yellow","2022-04-11 08:00:00"
"5995","CNY","M2 Money Supply y/y","9.7%","9.2%","9.2%","yellow","2022-04-11 00:10:00"
"5996","CNY","New Loans","3130B","2750B","1230B","yellow","2022-04-11 08:00:00"
"5997","GBP","NIESR GDP Estimate","1.0%","","1.0%","yellow","2022-04-11 02:00:00"
"5998","USD","FOMC Member Bowman Speaks","","","","yellow","2022-04-11 05:30:00"
"5999","NZD","NZIER Business Confidence","-40","","-28","yellow","2022-04-11 14:04:00"
"6000","NZD","Visitor Arrivals m/m","29.8%","","-34.5%","yellow","2022-04-11 14:45:00"
"6001","GBP","BRC Retail Sales Monitor y/y","-0.4%","2.6%","2.7%","yellow","2022-04-11 15:01:00"
"6002","JPY","Bank Lending y/y","0.5%","0.5%","0.3%","yellow","2022-04-11 15:50:00"
"6003","JPY","PPI y/y","9.5%","9.2%","9.7%","yellow","2022-04-11 08:00:00"
"6004","AUD","NAB Business Confidence","16","","13","yellow","2022-04-11 17:30:00"
"6005","EUR","German Final CPI m/m","2.5%","2.5%","2.5%","yellow","2022-04-11 22:00:00"
"6006","EUR","German WPI m/m","6.9%","1.4%","1.7%","yellow","2022-04-12 08:00:00"
"6007","GBP","Average Earnings Index 3m/y","5.4%","5.4%","4.8%","yellow","2022-04-12 08:00:00"
"6008","GBP","Claimant Count Change","-46.9K","-41.1K","-58.0K","yellow","2022-04-12 08:00:00"
"6009","GBP","Unemployment Rate","3.8%","3.8%","3.9%","yellow","2022-04-12 08:00:00"
"6010","EUR","French Trade Balance","-10.3B","-9.3B","-8.0B","yellow","2022-04-11 22:45:00"
"6011","EUR","ZEW Economic Sentiment","-43.0","-46.5","-38.7","orange","2022-04-12 01:00:00"
"6012","EUR","German ZEW Economic Sentiment","-41.0","-48.4","-39.3","orange","2022-04-12 08:00:00"
"6013","GBP","10-y Bond Auction","1.93|2.6","","1.60|2.5","yellow","2022-04-12 01:02:00"
"6014","USD","NFIB Small Business Index","93.2","95.0","95.7","yellow","2022-04-12 02:00:00"
"6015","USD","Core CPI m/m","0.3%","0.5%","0.5%","red","2022-04-12 04:30:00"
"6016","USD","CPI m/m","1.2%","1.2%","0.8%","red","2022-04-12 08:00:00"
"6017","USD","CPI y/y","8.5%","8.4%","7.9%","red","2022-04-12 08:00:00"
"6018","USD","IBD/TIPP Economic Optimism","45.5","43.2","41.0","yellow","2022-04-12 06:00:00"
"6019","USD","FOMC Member Brainard Speaks","","","","orange","2022-04-12 08:10:00"
"6020","USD","10-y Bond Auction","2.72|2.4","","1.92|2.5","orange","2022-04-12 09:01:00"
"6021","USD","Federal Budget Balance","-192.7B","-191.5B","-216.6B","yellow","2022-04-12 10:00:00"
"6022","NZD","FPI m/m","0.7%","","-0.1%","yellow","2022-04-12 14:45:00"
"6023","JPY","Core Machinery Orders m/m","-9.8%","-1.5%","-2.0%","yellow","2022-04-12 15:50:00"
"6024","JPY","M2 Money Stock y/y","3.5%","3.6%","3.6%","yellow","2022-04-12 08:00:00"
"6025","AUD","Westpac Consumer Sentiment","-0.9%","","-4.2%","yellow","2022-04-12 16:30:00"
"6026","NZD","Official Cash Rate","1.50%","1.25%","1.00%","red","2022-04-12 18:00:00"
"6027","NZD","RBNZ Rate Statement","","","","red","2022-04-12 08:00:00"
"6028","CNY","Trade Balance","301B","140B","739B","yellow","2022-04-12 20:08:00"
"6029","CNY","USD-Denominated Trade Balance","47.4B","22.0B","116.0B","yellow","2022-04-12 20:43:00"
"6030","GBP","CPI y/y","7.0%","6.7%","6.2%","red","2022-04-12 22:00:00"
"6031","GBP","Core CPI y/y","5.7%","5.3%","5.2%","yellow","2022-04-13 08:00:00"
"6032","GBP","PPI Input m/m","5.2%","2.0%","1.8%","yellow","2022-04-13 08:00:00"
"6033","GBP","PPI Output m/m","2.0%","1.2%","0.9%","yellow","2022-04-13 08:00:00"
"6034","GBP","RPI y/y","9.0%","8.8%","8.2%","yellow","2022-04-13 08:00:00"
"6035","JPY","BOJ Gov Kuroda Speaks","","","","orange","2022-04-12 22:15:00"
"6036","EUR","Italian Industrial Production m/m","4.0%","0.9%","-3.4%","yellow","2022-04-13 00:00:00"
"6037","GBP","HPI y/y","10.9%","10.1%","10.2%","yellow","2022-04-13 00:30:00"
"6038","EUR","German 10-y Bond Auction","0.83|1.3","","0.38|1.3","yellow","2022-04-13 01:38:00"
"6039","USD","PPI m/m","1.4%","1.1%","0.8%","red","2022-04-13 04:30:00"
"6040","USD","Core PPI m/m","1.0%","0.5%","0.2%","orange","2022-04-13 08:00:00"
"6041","CAD","BOC Monetary Policy Report","","","","red","2022-04-13 06:00:00"
"6042","CAD","BOC Rate Statement","","","","red","2022-04-13 08:00:00"
"6043","CAD","Overnight Rate","1.00%","1.00%","0.50%","red","2022-04-13 08:00:00"
"6044","USD","Crude Oil Inventories","9.4M","1.1M","2.4M","yellow","2022-04-13 06:30:00"
"6045","CAD","BOC Press Conference","","","","red","2022-04-13 07:00:00"
"6046","USD","30-y Bond Auction","2.82|2.3","","2.38|2.5","orange","2022-04-13 09:01:00"
"6047","NZD","BusinessNZ Manufacturing Index","53.8","","53.6","yellow","2022-04-13 14:30:00"
"6048","GBP","RICS House Price Balance","74%","75%","78%","yellow","2022-04-13 15:01:00"
"6049","AUD","MI Inflation Expectations","5.2%","","4.9%","yellow","2022-04-13 17:03:00"
"6050","AUD","Employment Change","17.9K","30.0K","77.4K","red","2022-04-13 17:30:00"
"6051","AUD","Unemployment Rate","4.0%","3.9%","4.0%","red","2022-04-13 08:00:00"
"6052","CHF","PPI m/m","0.8%","1.1%","0.4%","yellow","2022-04-13 22:30:00"
"6053","CNY","Foreign Direct Investment ytd/y","25.6%","","37.9%","yellow","2022-04-13 23:02:00"
"6054","GBP","BOE Credit Conditions Survey","","","","yellow","2022-04-14 00:30:00"
"6055","EUR","Main Refinancing Rate","0.00%","0.00%","0.00%","red","2022-04-14 03:45:00"
"6056","EUR","Monetary Policy Statement","","","","red","2022-04-14 08:00:00"
"6057","CAD","Manufacturing Sales m/m","4.2%","3.6%","0.6%","yellow","2022-04-14 04:30:00"
"6058","CAD","Wholesale Sales m/m","-0.4%","1.0%","4.2%","yellow","2022-04-14 08:00:00"
"6059","EUR","ECB Press Conference","","","","red","2022-04-14 08:00:00"
"6060","USD","Core Retail Sales m/m","1.1%","1.0%","0.6%","red","2022-04-14 08:00:00"
"6061","USD","Retail Sales m/m","0.5%","0.6%","0.8%","red","2022-04-14 08:00:00"
"6062","USD","Unemployment Claims","185K","172K","167K","orange","2022-04-14 08:00:00"
"6063","USD","Import Prices m/m","2.6%","2.3%","1.6%","yellow","2022-04-14 08:00:00"
"6064","GBP","CB Leading Index m/m","0.0%","","0.4%","yellow","2022-04-14 05:30:00"
"6065","USD","Prelim UoM Consumer Sentiment","65.7","59.1","59.4","orange","2022-04-14 06:00:00"
"6066","USD","Business Inventories m/m","1.5%","1.3%","1.3%","yellow","2022-04-14 08:00:00"
"6067","USD","Prelim UoM Inflation Expectations","5.4%","","5.4%","yellow","2022-04-14 08:00:00"
"6068","USD","Natural Gas Storage","15B","15B","-33B","yellow","2022-04-14 06:30:00"
"6069","USD","FOMC Member Mester Speaks","","","","orange","2022-04-14 11:50:00"
"6070","NZD","Bank Holiday","","","","grey","2022-04-14 08:00:00"
"6071","AUD","Bank Holiday","","","","grey","2022-04-14 08:00:00"
"6072","CHF","Bank Holiday","","","","grey","2022-04-15 08:00:00"
"6073","EUR","French Final CPI m/m","1.4%","1.4%","1.4%","yellow","2022-04-14 22:45:00"
"6074","GBP","Bank Holiday","","","","grey","2022-04-15 08:00:00"
"6075","EUR","German Bank Holiday","","","","grey","2022-04-15 08:00:00"
"6076","USD","Empire State Manufacturing Index","24.6","0.9","-11.8","orange","2022-04-15 04:30:00"
"6077","CAD","Bank Holiday","","","","grey","2022-04-15 08:00:00"
"6078","USD","Capacity Utilization Rate","78.3%","77.8%","77.6%","yellow","2022-04-15 05:15:00"
"6079","USD","Industrial Production m/m","0.9%","0.4%","0.5%","yellow","2022-04-15 08:00:00"
"6080","USD","TIC Long-Term Purchases","141.7B","103.5B","58.8B","yellow","2022-04-15 12:00:00"
"6081","NZD","Bank Holiday","","","","grey","2022-04-17 08:00:00"
"6082","AUD","Bank Holiday","","","","grey","2022-04-17 08:00:00"
"6083","CNY","GDP q/y","4.8%","4.2%","4.0%","red","2022-04-17 18:00:00"
"6084","CNY","Retail Sales y/y","-3.5%","-3.0%","6.7%","orange","2022-04-17 08:00:00"
"6085","CNY","Fixed Asset Investment ytd/y","9.3%","8.5%","12.2%","yellow","2022-04-17 08:00:00"
"6086","CNY","Industrial Production y/y","5.0%","4.0%","7.5%","yellow","2022-04-17 08:00:00"
"6087","CNY","NBS Press Conference","","","","yellow","2022-04-17 08:00:00"
"6088","CNY","Unemployment Rate","5.8%","5.5%","5.5%","yellow","2022-04-17 08:00:00"
"6089","CHF","Bank Holiday","","","","grey","2022-04-18 08:00:00"
"6090","GBP","Bank Holiday","","","","grey","2022-04-18 08:00:00"
"6091","EUR","French Bank Holiday","","","","grey","2022-04-18 08:00:00"
"6092","EUR","German Bank Holiday","","","","grey","2022-04-18 08:00:00"
"6093","EUR","Italian Bank Holiday","","","","grey","2022-04-18 08:00:00"
"6094","USD","NAHB Housing Market Index","77","77","79","yellow","2022-04-18 06:00:00"
"6095","All","IMF Meetings","","","","yellow","2022-04-18 08:00:00"
"6096","NZD","RBNZ Gov Orr Speaks","","","","red","2022-04-18 12:00:00"
"6097","USD","FOMC Member Bullard Speaks","","","","orange","2022-04-18 08:00:00"
"6098","NZD","BusinessNZ Services Index","51.6","","48.9","yellow","2022-04-18 14:30:00"
"6099","AUD","Monetary Policy Meeting Minutes","","","","orange","2022-04-18 17:30:00"
"6100","JPY","Revised Industrial Production m/m","2.0%","0.1%","0.1%","yellow","2022-04-18 20:30:00"
"6101","CAD","Housing Starts","246K","249K","250K","yellow","2022-04-19 04:13:00"
"6102","CAD","Foreign Securities Purchases","7.44B","15.23B","13.49B","yellow","2022-04-19 04:30:00"
"6103","USD","Building Permits","1.87M","1.83M","1.87M","yellow","2022-04-19 08:00:00"
"6104","USD","Housing Starts","1.79M","1.74M","1.79M","yellow","2022-04-19 08:00:00"
"6105","All","IMF Meetings","","","","yellow","2022-04-19 08:00:00"
"6106","AUD","CB Leading Index m/m","0.6%","","-0.3%","yellow","2022-04-19 06:30:00"
"6107","NZD","GDT Price Index","-3.6%","","-1.0%","yellow","2022-04-19 06:39:00"
"6108","CHF","SNB Chairman Jordan Speaks","","","","orange","2022-04-19 08:30:00"
"6109","JPY","Trade Balance","-0.90T","-0.58T","-1.07T","yellow","2022-04-19 15:50:00"
"6110","AUD","MI Leading Index m/m","0.3%","","0.4%","yellow","2022-04-19 16:30:00"
"6111","CNY","1-y Loan Prime Rate","3.70%","3.65%","3.70%","orange","2022-04-19 17:15:00"
"6112","CNY","5-y Loan Prime Rate","4.60%","4.55%","4.60%","orange","2022-04-19 08:00:00"
"6113","JPY","Tertiary Industry Activity m/m","-1.3%","0.3%","-0.2%","yellow","2022-04-19 20:30:00"
"6114","EUR","German PPI m/m","4.9%","2.7%","1.4%","yellow","2022-04-19 22:00:00"
"6115","EUR","Italian Trade Balance","-1.66B","-4.23B","-5.13B","yellow","2022-04-20 00:00:00"
"6116","EUR","Industrial Production m/m","0.7%","0.8%","-0.7%","yellow","2022-04-20 01:00:00"
"6117","EUR","Trade Balance","-9.4B","-6.5B","-7.7B","yellow","2022-04-20 08:00:00"
"6118","CAD","CPI m/m","1.4%","0.9%","1.0%","red","2022-04-20 04:30:00"
"6119","CAD","Common CPI y/y","2.8%","2.7%","2.7%","orange","2022-04-20 08:00:00"
"6120","CAD","Median CPI y/y","3.8%","3.5%","3.5%","orange","2022-04-20 08:00:00"
"6121","CAD","Trimmed CPI y/y","4.7%","4.3%","4.4%","orange","2022-04-20 08:00:00"
"6122","CAD","NHPI m/m","1.2%","0.7%","1.1%","yellow","2022-04-20 08:00:00"
"6123","EUR","German Buba President Nagel Speaks","","","","yellow","2022-04-20 08:00:00"
"6124","CAD","Core CPI m/m","1.0%","","0.8%","yellow","2022-04-20 04:32:00"
"6125","USD","Existing Home Sales","5.77M","5.78M","5.93M","orange","2022-04-20 06:00:00"
"6126","All","IMF Meetings","","","","yellow","2022-04-20 08:00:00"
"6127","USD","Crude Oil Inventories","-8.0M","3.0M","9.4M","yellow","2022-04-20 06:30:00"
"6128","All","G20 Meetings","","","","orange","2022-04-20 08:00:00"
"6129","All","G7 Meetings","","","","yellow","2022-04-20 08:00:00"
"6130","USD","Beige Book","","","","yellow","2022-04-20 10:00:00"
"6131","NZD","CPI q/q","1.8%","2.0%","1.4%","red","2022-04-20 14:45:00"
"6132","EUR","Spanish 10-y Bond Auction","1.74|1.3","","1.60|2.3","yellow","2022-04-21 00:40:00"
"6133","EUR","Final Core CPI y/y","2.9%","3.0%","3.0%","yellow","2022-04-21 01:00:00"
"6134","EUR","Final CPI y/y","7.4%","7.5%","7.5%","yellow","2022-04-21 08:00:00"
"6135","USD","Philly Fed Manufacturing Index","17.6","21.5","27.4","orange","2022-04-21 04:30:00"
"6136","USD","Unemployment Claims","184K","177K","186K","orange","2022-04-21 08:00:00"
"6137","GBP","MPC Member Mann Speaks","","","","yellow","2022-04-21 05:00:00"
"6138","EUR","Consumer Confidence","-17","-20","-19","yellow","2022-04-21 05:46:00"
"6139","USD","CB Leading Index m/m","0.3%","0.3%","0.6%","yellow","2022-04-21 06:00:00"
"6140","All","IMF Meetings","","","","yellow","2022-04-21 08:00:00"
"6141","USD","Natural Gas Storage","53B","40B","15B","yellow","2022-04-21 06:30:00"
"6142","USD","Fed Chair Powell Speaks","","","","orange","2022-04-21 07:00:00"
"6143","GBP","BOE Gov Bailey Speaks","","","","red","2022-04-21 08:30:00"
"6144","EUR","ECB President Lagarde Speaks","","","","orange","2022-04-21 09:00:00"
"6145","USD","Fed Chair Powell Speaks","","","","red","2022-04-21 08:00:00"
"6146","AUD","Flash Manufacturing PMI","57.9","","57.7","yellow","2022-04-21 15:00:00"
"6147","AUD","Flash Services PMI","56.6","","55.6","yellow","2022-04-21 08:00:00"
"6148","GBP","GfK Consumer Confidence","-38","-33","-31","yellow","2022-04-21 15:01:00"
"6149","JPY","National Core CPI y/y","0.8%","0.8%","0.6%","yellow","2022-04-21 15:30:00"
"6150","JPY","Flash Manufacturing PMI","53.4","53.3","54.1","yellow","2022-04-21 16:30:00"
"6151","GBP","Retail Sales m/m","-1.4%","-0.3%","-0.5%","orange","2022-04-21 22:00:00"
"6152","EUR","French Flash Services PMI","58.8","56.4","57.4","orange","2022-04-21 23:15:00"
"6153","EUR","French Flash Manufacturing PMI","55.4","53.7","54.7","yellow","2022-04-22 08:00:00"
"6154","EUR","German Flash Manufacturing PMI","54.1","54.6","56.9","red","2022-04-21 23:30:00"
"6155","EUR","German Flash Services PMI","57.9","55.4","56.1","red","2022-04-22 08:00:00"
"6156","EUR","Current Account","20.8B","22.8B","21.6B","yellow","2022-04-22 00:00:00"
"6157","EUR","Flash Manufacturing PMI","55.3","54.9","56.5","yellow","2022-04-22 08:00:00"
"6158","EUR","Flash Services PMI","57.7","55.0","55.6","yellow","2022-04-22 08:00:00"
"6159","GBP","Flash Manufacturing PMI","55.3","53.9","55.2","orange","2022-04-22 00:30:00"
"6160","GBP","Flash Services PMI","58.3","59.9","62.6","orange","2022-04-22 08:00:00"
"6161","EUR","German Buba Monthly Report","","","","yellow","2022-04-22 02:00:00"
"6162","CAD","Core Retail Sales m/m","2.1%","0.4%","2.9%","orange","2022-04-22 04:30:00"
"6163","CAD","Retail Sales m/m","0.1%","-0.4%","3.3%","orange","2022-04-22 08:00:00"
"6164","CAD","IPPI m/m","4.0%","2.0%","2.6%","yellow","2022-04-22 08:00:00"
"6165","CAD","RMPI m/m","11.8%","7.1%","6.4%","yellow","2022-04-22 08:00:00"
"6166","EUR","ECB President Lagarde Speaks","","","","orange","2022-04-22 05:00:00"
"6167","USD","Flash Manufacturing PMI","59.7","58.1","58.8","orange","2022-04-22 05:45:00"
"6168","USD","Flash Services PMI","54.7","58.0","58.0","orange","2022-04-22 08:00:00"
"6169","All","IMF Meetings","","","","yellow","2022-04-22 08:00:00"
"6170","GBP","BOE Gov Bailey Speaks","","","","red","2022-04-22 06:30:00"
"6171","All","IMF Meetings","","","","yellow","2022-04-23 08:00:00"
"6172","EUR","French Presidential Election","","","","red","2022-04-24 08:00:00"
