"","currency","event","actual","forecast","previous","impact","DateUTC"
"109","JPY","Bank Holiday","","","","grey","2021-01-10 08:00:00"
"110","CNY","CPI y/y","0.2%","0.0%","-0.5%","yellow","2021-01-10 16:30:00"
"111","CNY","PPI y/y","-0.4%","-0.7%","-1.5%","yellow","2021-01-10 08:00:00"
"112","EUR","Sentix Investor Confidence","1.3","2.0","-2.7","yellow","2021-01-11 00:30:00"
"113","GBP","MPC Member Tenreyro Speaks","","","","yellow","2021-01-11 05:00:00"
"114","CAD","BOC Business Outlook Survey","","","","orange","2021-01-11 06:30:00"
"115","USD","FOMC Member Bostic Speaks","","","","yellow","2021-01-11 08:00:00"
"116","JPY","Bank Lending y/y","6.2%","6.5%","6.2%","yellow","2021-01-11 14:50:00"
"117","JPY","Current Account","2.34T","2.00T","1.98T","yellow","2021-01-11 08:00:00"
"118","GBP","BRC Retail Sales Monitor y/y","4.8%","5.9%","7.7%","yellow","2021-01-11 15:01:00"
"119","JPY","Economy Watchers Sentiment","35.5","36.9","45.6","yellow","2021-01-11 20:00:00"
"120","EUR","Italian Retail Sales m/m","-6.9%","-4.5%","0.5%","yellow","2021-01-12 00:00:00"
"121","GBP","MPC Member Broadbent Speaks","","","","orange","2021-01-12 01:00:00"
"122","USD","NFIB Small Business Index","95.9","100.1","101.4","yellow","2021-01-12 02:00:00"
"123","CNY","M2 Money Supply y/y","10.1%","10.7%","10.7%","yellow","2021-01-12 02:01:00"
"124","CNY","New Loans","1260B","1250B","1430B","yellow","2021-01-12 08:00:00"
"125","USD","FOMC Member Brainard Speaks","","","","yellow","2021-01-12 05:35:00"
"126","USD","JOLTS Job Openings","6.53M","6.42M","6.63M","yellow","2021-01-12 06:00:00"
"127","USD","IBD/TIPP Economic Optimism","50.1","50.1","49.0","yellow","2021-01-12 06:02:00"
"128","USD","10-y Bond Auction","1.16|2.5","","0.95|2.3","yellow","2021-01-12 09:01:00"
"129","JPY","M2 Money Stock y/y","9.2%","9.2%","9.1%","yellow","2021-01-12 14:50:00"
"130","NZD","ANZ Commodity Prices m/m","1.8%","","0.9%","yellow","2021-01-12 15:00:00"
"131","JPY","Prelim Machine Tool Orders y/y","8.7%","","8.6%","yellow","2021-01-12 20:58:00"
"132","EUR","German WPI m/m","0.6%","0.1%","0.1%","yellow","2021-01-12 22:00:00"
"133","EUR","ECB President Lagarde Speaks","","","","orange","2021-01-13 00:00:00"
"134","EUR","Italian Industrial Production m/m","-1.4%","-0.4%","1.4%","yellow","2021-01-13 08:00:00"
"135","EUR","Industrial Production m/m","2.5%","0.2%","2.3%","yellow","2021-01-13 01:00:00"
"136","USD","CPI y/y","1.4%","1.4%","1.2%","red","2021-01-13 04:30:00"
"137","USD","Core CPI m/m","0.1%","0.1%","0.2%","orange","2021-01-13 08:00:00"
"138","USD","CPI m/m","0.4%","0.4%","0.2%","orange","2021-01-13 08:00:00"
"139","USD","Crude Oil Inventories","-3.2M","-3.2M","-8.0M","yellow","2021-01-13 06:30:00"
"140","USD","FOMC Member Brainard Speaks","","","","yellow","2021-01-13 09:00:00"
"141","USD","30-y Bond Auction","1.83|2.5","","1.67|2.5","yellow","2021-01-13 09:01:00"
"142","USD","Beige Book","","","","yellow","2021-01-13 10:00:00"
"143","USD","Federal Budget Balance","-143.6B","-144.5B","-145.3B","yellow","2021-01-13 08:00:00"
"144","USD","FOMC Member Clarida Speaks","","","","yellow","2021-01-13 11:00:00"
"145","NZD","Building Consents m/m","1.2%","","8.9%","yellow","2021-01-13 12:45:00"
"146","JPY","Core Machinery Orders m/m","1.5%","-6.4%","17.1%","yellow","2021-01-13 14:50:00"
"147","JPY","PPI y/y","-2.0%","-2.2%","-2.3%","yellow","2021-01-13 08:00:00"
"148","GBP","RICS House Price Balance","65%","61%","66%","yellow","2021-01-13 15:01:00"
"149","CNY","USD-Denominated Trade Balance","78.2B","72.0B","75.4B","yellow","2021-01-13 17:09:00"
"150","CNY","Trade Balance","517B","466B","507B","yellow","2021-01-13 17:10:00"
"151","EUR","ECB Monetary Policy Meeting Accounts","","","","yellow","2021-01-14 03:30:00"
"152","USD","Import Prices m/m","0.9%","0.7%","0.2%","yellow","2021-01-14 04:30:00"
"153","USD","Unemployment Claims","965K","785K","784K","yellow","2021-01-14 08:00:00"
"154","GBP","CB Leading Index m/m","-2.1%","","-1.7%","yellow","2021-01-14 05:30:00"
"155","USD","Natural Gas Storage","-134B","-129B","-130B","yellow","2021-01-14 06:30:00"
"156","USD","Fed Chair Powell Speaks","","","","red","2021-01-14 08:30:00"
"157","NZD","FPI m/m","0.1%","","-0.9%","yellow","2021-01-14 12:45:00"
"158","USD","President Biden Speaks","","","","red","2021-01-14 15:15:00"
"159","JPY","Tertiary Industry Activity m/m","-0.7%","0.3%","1.6%","yellow","2021-01-14 19:30:00"
"160","GBP","Construction Output m/m","1.9%","0.8%","1.5%","yellow","2021-01-14 22:00:00"
"161","GBP","GDP m/m","-2.6%","-4.6%","0.6%","yellow","2021-01-15 08:00:00"
"162","GBP","Goods Trade Balance","-16.0B","-11.1B","-13.3B","yellow","2021-01-15 08:00:00"
"163","GBP","Index of Services 3m/3m","3.7%","2.5%","10.0%","yellow","2021-01-15 08:00:00"
"164","GBP","Industrial Production m/m","-0.1%","0.5%","1.1%","yellow","2021-01-15 08:00:00"
"165","GBP","Manufacturing Production m/m","0.7%","1.0%","1.6%","yellow","2021-01-15 08:00:00"
"166","EUR","French Final CPI m/m","0.2%","0.2%","0.2%","yellow","2021-01-14 22:45:00"
"167","EUR","French Gov Budget Balance","-176.8B","","-159.9B","yellow","2021-01-15 08:00:00"
"168","EUR","Trade Balance","25.1B","22.3B","25.2B","yellow","2021-01-15 01:00:00"
"169","GBP","NIESR GDP Estimate","0.9%","","4.1%","yellow","2021-01-15 04:06:00"
"170","USD","Core Retail Sales m/m","-1.4%","-0.1%","-1.3%","red","2021-01-15 04:30:00"
"171","USD","Retail Sales m/m","-0.7%","0.0%","-1.4%","red","2021-01-15 08:00:00"
"172","USD","Core PPI m/m","0.1%","0.1%","0.1%","yellow","2021-01-15 08:00:00"
"173","USD","Empire State Manufacturing Index","3.5","5.7","4.9","yellow","2021-01-15 08:00:00"
"174","USD","PPI m/m","0.3%","0.4%","0.1%","yellow","2021-01-15 08:00:00"
"175","USD","Capacity Utilization Rate","74.5%","73.4%","73.4%","yellow","2021-01-15 05:15:00"
"176","USD","Industrial Production m/m","1.6%","0.5%","0.5%","yellow","2021-01-15 08:00:00"
"177","USD","Business Inventories m/m","0.5%","0.5%","0.8%","yellow","2021-01-15 06:00:00"
"178","USD","Prelim UoM Consumer Sentiment","79.2","79.5","80.7","yellow","2021-01-15 08:00:00"
"179","USD","Prelim UoM Inflation Expectations","3.0%","","2.5%","yellow","2021-01-15 08:00:00"
"180","GBP","Rightmove HPI m/m","-0.9%","","-0.6%","yellow","2021-01-17 15:01:00"
"181","CNY","GDP q/y","6.5%","6.2%","4.9%","red","2021-01-17 17:00:00"
"182","CNY","Fixed Asset Investment ytd/y","2.9%","3.3%","2.6%","yellow","2021-01-17 08:00:00"
"183","CNY","Industrial Production y/y","7.3%","6.9%","7.0%","yellow","2021-01-17 08:00:00"
"184","CNY","NBS Press Conference","","","","yellow","2021-01-17 08:00:00"
"185","CNY","Retail Sales y/y","4.6%","5.5%","5.0%","yellow","2021-01-17 08:00:00"
"186","CNY","Unemployment Rate","5.2%","5.2%","5.2%","yellow","2021-01-17 08:00:00"
"187","JPY","Revised Industrial Production m/m","-0.5%","0.0%","0.0%","yellow","2021-01-17 19:30:00"
"188","EUR","Eurogroup Meetings","","","","yellow","2021-01-18 08:00:00"
"189","EUR","German Buba Monthly Report","","","","yellow","2021-01-18 02:00:00"
"190","USD","Bank Holiday","","","","grey","2021-01-18 08:00:00"
"191","CAD","Housing Starts","228K","230K","261K","yellow","2021-01-18 04:14:00"
"192","CAD","Foreign Securities Purchases","11.78B","5.05B","6.93B","yellow","2021-01-18 04:30:00"
"193","GBP","BOE Gov Bailey Speaks","","","","orange","2021-01-18 08:00:00"
"194","NZD","NZIER Business Confidence","-6","","-40","yellow","2021-01-18 12:06:00"
"195","EUR","German Final CPI m/m","0.5%","0.5%","0.5%","yellow","2021-01-18 22:00:00"
"196","CHF","PPI m/m","0.5%","0.1%","-0.1%","yellow","2021-01-18 22:30:00"
"197","EUR","Current Account","24.6B","28.2B","25.6B","yellow","2021-01-19 00:00:00"
"198","EUR","Italian Trade Balance","6.77B","6.23B","7.58B","yellow","2021-01-19 08:00:00"
"199","EUR","ECOFIN Meetings","","","","yellow","2021-01-19 08:00:00"
"200","EUR","ZEW Economic Sentiment","58.3","54.1","54.4","yellow","2021-01-19 01:00:00"
"201","EUR","German ZEW Economic Sentiment","61.8","55.1","55.0","yellow","2021-01-19 08:00:00"
"202","CAD","Manufacturing Sales m/m","-0.6%","-0.2%","0.2%","yellow","2021-01-19 04:30:00"
"203","CAD","Wholesale Sales m/m","0.7%","0.9%","1.3%","yellow","2021-01-19 08:00:00"
"204","NZD","GDT Price Index","4.8%","","3.9%","yellow","2021-01-19 06:05:00"
"205","GBP","MPC Member Haldane Speaks","","","","yellow","2021-01-19 09:00:00"
"206","USD","TIC Long-Term Purchases","149.2B","45.4B","51.9B","yellow","2021-01-19 12:00:00"
"207","AUD","Westpac Consumer Sentiment","-4.5%","","4.1%","yellow","2021-01-19 14:23:00"
"208","CNY","Foreign Direct Investment ytd/y","6.2%","","6.3%","yellow","2021-01-19 16:05:00"
"209","CNY","1-y Loan Prime Rate","3.85%","3.85%","3.85%","orange","2021-01-19 16:30:00"
"210","CNY","5-y Loan Prime Rate","4.65%","4.65%","4.65%","orange","2021-01-19 08:00:00"
"211","EUR","German PPI m/m","0.8%","0.3%","0.2%","yellow","2021-01-19 22:00:00"
"212","GBP","Core CPI y/y","1.4%","1.3%","1.1%","yellow","2021-01-20 08:00:00"
"213","GBP","CPI y/y","0.6%","0.5%","0.3%","yellow","2021-01-20 08:00:00"
"214","GBP","PPI Input m/m","0.8%","0.8%","0.4%","yellow","2021-01-20 08:00:00"
"215","GBP","PPI Output m/m","0.3%","0.2%","0.3%","yellow","2021-01-20 08:00:00"
"216","GBP","RPI y/y","1.2%","1.2%","0.9%","yellow","2021-01-20 08:00:00"
"217","GBP","HPI y/y","7.6%","5.5%","5.9%","yellow","2021-01-20 00:30:00"
"218","EUR","Final Core CPI y/y","0.2%","0.2%","0.2%","yellow","2021-01-20 01:00:00"
"219","EUR","Final CPI y/y","-0.3%","-0.3%","-0.3%","yellow","2021-01-20 08:00:00"
"220","EUR","German 30-y Bond Auction","-0.13|1.4","","-0.06|1.6","yellow","2021-01-20 01:34:00"
"221","CAD","CPI m/m","-0.2%","0.1%","0.1%","orange","2021-01-20 04:30:00"
"222","CAD","Common CPI y/y","1.3%","1.5%","1.5%","yellow","2021-01-20 08:00:00"
"223","CAD","Median CPI y/y","1.8%","1.9%","1.8%","yellow","2021-01-20 08:00:00"
"224","CAD","Trimmed CPI y/y","1.6%","1.7%","1.7%","yellow","2021-01-20 08:00:00"
"225","CAD","Core CPI m/m","-0.4%","","0.2%","yellow","2021-01-20 04:32:00"
"226","CAD","BOC Monetary Policy Report","","","","red","2021-01-20 06:00:00"
"227","CAD","BOC Rate Statement","","","","red","2021-01-20 08:00:00"
"228","CAD","Overnight Rate","0.25%","0.25%","0.25%","orange","2021-01-20 08:00:00"
"229","USD","NAHB Housing Market Index","83","86","86","yellow","2021-01-20 08:00:00"
"230","AUD","CB Leading Index m/m","0.8%","","0.9%","yellow","2021-01-20 06:30:00"
"231","CAD","BOC Press Conference","","","","red","2021-01-20 07:00:00"
"232","USD","President Biden Speaks","","","","red","2021-01-20 07:52:00"
"233","GBP","BOE Gov Bailey Speaks","","","","red","2021-01-20 08:00:00"
"234","NZD","Visitor Arrivals m/m","0.8%","","-8.1%","yellow","2021-01-20 12:45:00"
"235","JPY","Trade Balance","0.48T","0.70T","0.55T","yellow","2021-01-20 14:50:00"
"236","AUD","MI Inflation Expectations","3.4%","","3.5%","yellow","2021-01-20 15:00:00"
"237","AUD","Employment Change","50.0K","50.0K","90.0K","red","2021-01-20 15:30:00"
"238","AUD","Unemployment Rate","6.6%","6.7%","6.8%","red","2021-01-20 08:00:00"
"239","JPY","BOJ Outlook Report","","","","red","2021-01-20 17:38:00"
"240","JPY","Monetary Policy Statement","","","","red","2021-01-20 08:00:00"
"241","JPY","BOJ Policy Rate","-0.10%","-0.10%","-0.10%","yellow","2021-01-20 08:00:00"
"242","JPY","BOJ Press Conference","","","","orange","2021-01-20 21:30:00"
"243","GBP","BOE Credit Conditions Survey","","","","yellow","2021-01-21 00:30:00"
"244","GBP","CBI Industrial Order Expectations","-38","-35","-25","yellow","2021-01-21 02:00:00"
"245","EUR","Monetary Policy Statement","","","","red","2021-01-21 03:45:00"
"246","EUR","Main Refinancing Rate","0.00%","0.00%","0.00%","orange","2021-01-21 08:00:00"
"247","CAD","NHPI m/m","0.3%","0.8%","0.6%","yellow","2021-01-21 04:30:00"
"248","EUR","ECB Press Conference","","","","red","2021-01-21 08:00:00"
"249","USD","Philly Fed Manufacturing Index","26.5","11.2","11.1","orange","2021-01-21 08:00:00"
"250","USD","Unemployment Claims","900K","930K","926K","orange","2021-01-21 08:00:00"
"251","USD","Building Permits","1.71M","1.60M","1.64M","yellow","2021-01-21 08:00:00"
"252","USD","Housing Starts","1.67M","1.56M","1.58M","yellow","2021-01-21 08:00:00"
"253","CAD","ADP Non-Farm Employment Change","-28.8K","","-219.8K","yellow","2021-01-21 04:32:00"
"254","EUR","Consumer Confidence","-16","-15","-14","yellow","2021-01-21 05:30:00"
"255","NZD","BusinessNZ Manufacturing Index","48.7","","54.7","yellow","2021-01-21 12:30:00"
"256","NZD","CPI q/q","0.5%","0.2%","0.7%","red","2021-01-21 12:45:00"
"257","AUD","Flash Manufacturing PMI","57.2","","55.7","yellow","2021-01-21 13:00:00"
"258","AUD","Flash Services PMI","55.8","","57.0","yellow","2021-01-21 08:00:00"
"259","JPY","National Core CPI y/y","-1.0%","-1.1%","-0.9%","yellow","2021-01-21 14:30:00"
"260","GBP","GfK Consumer Confidence","-28","-30","-26","yellow","2021-01-21 15:01:00"
"261","AUD","Retail Sales m/m","-4.2%","-1.5%","7.1%","yellow","2021-01-21 15:30:00"
"262","JPY","Flash Manufacturing PMI","49.7","50.1","50.0","yellow","2021-01-21 08:00:00"
"263","GBP","Retail Sales m/m","0.3%","1.4%","-4.1%","orange","2021-01-21 22:00:00"
"264","GBP","Public Sector Net Borrowing","33.4B","31.5B","25.4B","yellow","2021-01-22 08:00:00"
"265","EUR","French Flash Services PMI","46.5","48.3","49.1","red","2021-01-21 23:15:00"
"266","EUR","French Flash Manufacturing PMI","51.5","50.6","51.1","orange","2021-01-22 08:00:00"
"267","EUR","German Flash Manufacturing PMI","57.0","57.3","58.3","red","2021-01-21 23:30:00"
"268","EUR","German Flash Services PMI","46.8","45.1","47.0","red","2021-01-22 08:00:00"
"269","EUR","Flash Manufacturing PMI","54.7","54.5","55.2","orange","2021-01-22 00:00:00"
"270","EUR","Flash Services PMI","45.0","44.4","46.4","orange","2021-01-22 08:00:00"
"271","GBP","Flash Manufacturing PMI","52.9","53.5","57.5","orange","2021-01-22 00:30:00"
"272","GBP","Flash Services PMI","38.8","45.2","49.4","orange","2021-01-22 08:00:00"
"273","CAD","Core Retail Sales m/m","2.1%","0.3%","-0.2%","orange","2021-01-22 04:30:00"
"274","CAD","Retail Sales m/m","1.3%","0.0%","0.1%","orange","2021-01-22 08:00:00"
"275","USD","Flash Manufacturing PMI","59.1","56.6","57.1","orange","2021-01-22 05:45:00"
"276","USD","Flash Services PMI","57.5","53.3","54.8","yellow","2021-01-22 08:00:00"
"277","USD","Existing Home Sales","6.76M","6.55M","6.71M","yellow","2021-01-22 06:00:00"
"278","USD","Natural Gas Storage","-187B","-162B","-134B","yellow","2021-01-22 06:30:00"
"279","USD","Crude Oil Inventories","4.4M","-1.2M","-3.2M","yellow","2021-01-22 07:00:00"
"280","AUD","Goods Trade Balance","8.96B","","1.53B","yellow","2021-01-24 15:30:00"
"281","EUR","ECB President Lagarde Speaks","","","","orange","2021-01-24 23:45:00"
"282","EUR","German ifo Business Climate","90.1","91.5","92.2","yellow","2021-01-25 00:00:00"
"283","CNY","CB Leading Index m/m","1.2%","","1.1%","yellow","2021-01-25 05:00:00"
"284","EUR","Belgian NBB Business Climate","-7.5","-8.0","-8.4","yellow","2021-01-25 08:00:00"
"285","EUR","ECB President Lagarde Speaks","","","","orange","2021-01-25 07:15:00"
"286","AUD","Bank Holiday","","","","grey","2021-01-25 08:00:00"
"287","NZD","BusinessNZ Services Index","49.2","","46.7","yellow","2021-01-25 12:30:00"
"288","JPY","Monetary Policy Meeting Minutes","","","","yellow","2021-01-25 14:50:00"
"289","JPY","SPPI y/y","-0.4%","-0.6%","-0.5%","yellow","2021-01-25 08:00:00"
"290","JPY","BOJ Core CPI y/y","-0.3%","-0.1%","-0.1%","yellow","2021-01-25 20:00:00"
