"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"2191",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/10/2/40/2/30/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3181",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/15/2/40/2/30/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"651",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/30/2/40/2/30/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"751",0,0,0,0,0,0,0,0,"SEQ","EURGBP","5 mins/15 mins","10/25/1/40/2/30/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1051",0,0,0,0,0,0,0,0,"SEQ","EURGBP","1 hour/15 mins","10/25/4/40/2/30/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1191",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/10/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1251",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/20/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"165",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/60/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"185",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/80/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"205",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/15 mins","10/25/2/40/2/100/1.5/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"306",721.863194444444,1243,1061,7387.01145312465,6000,4,3.39589976798081,10.2332568137233,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/10/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"267",721.863194444444,1254,1048,8893.65315539169,6000,4,6.02021769709219,12.3204136515595,"SEQ","EURJPY","15 mins/30 mins","40/25/2/60/3/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3112",721.863194444444,1153,982,7118.91427138241,6000,4,3.48588799249281,9.8618607045913,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/20/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"168",721.863194444444,1171,981,9149.48643132849,6000,5,4.98658774117216,12.6748205224261,"SEQ","EURJPY","15 mins/1 hour","40/25/2/20/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"178",721.863194444444,1116,944,12399.3596759919,6000,4,8.0808178757389,17.1768830595867,"SEQ","EURJPY","15 mins/1 hour","40/25/2/30/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"405",721.863194444444,1113,944,6679.04253439917,6000,4,3.51890390366088,9.25250461001749,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/1.5/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"434",721.863194444444,1105,941,5833.04132855661,6000,4,3.54279184751636,8.08053572123981,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"198",721.863194444444,1073,908,6014.60976502086,6000,4,3.54279184751636,8.33206320991304,"SEQ","EURJPY","15 mins/1 hour","40/25/2/50/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"444",721.863194444444,1072,907,6052.40745696296,6000,4,3.54279184751636,8.38442450528451,"SEQ","EURJPY","15 mins/1 hour","40/25/2/60/4/30/2/20/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1114",721.863194444444,1068,905,6462.56145279872,6000,4,3.54514071992945,8.95261249297022,"SEQ","EURJPY","15 mins/1 hour","40/30/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"188",721.863194444444,1064,900,9964.93406872253,6000,5,5.83333576388994,13.8044634293783,"SEQ","EURJPY","15 mins/1 hour","40/25/2/40/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
